科目代號,學分數,科目名稱(中),科目名稱(英),授課教師(中),授課教師(英),開課系級,上課時間(中),上課時間(英),上課地點,修別,授課語文,"是否為核心通識",異動備註,科目備註說明,
601085001,2.0,刑事法綜合研習,Comprehensive Study,林俊益,LIN JIUN-YI,法律四甲,一5678,mon14-18 mon 14 15 16,綜合270751,群/Partially,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:本課程隔週上課，上課時間為2/26、3/12、3/26、4/9、4/23、5/7、5/21、6/4及6/25。旁聽生請勿事先佔位，原修習學生坐定後，如有空位方能,
601091001,3.0,憲法,Constitution,孫迺翊,SUN NAI-YI,法律一甲,一D56,mon13-16 mon 13 14 15,大勇210201,群/Partially,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:106級基礎科目。,
601091011,3.0,憲法,Constitution,廖元豪,LIAO YUAN-HAO,法律一乙,一D56,mon13-16 mon 13 14 15,大勇210104,群/Partially,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:106級基礎科目。,
601091021,3.0,憲法,Constitution,劉定基,LIU TING-CHI,法律一丙,一D56,mon13-16 mon 13 14 15,大智190304,群/Partially,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:106級基礎科目。,
601102001,3.0,身分法,Family and,陳惠馨,CHEN HWEI-SYIN,法律二甲,三D56,wed13-16 wed 13 14 15,大勇210206,群/Partially,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:105級基礎科目。,
601102011,3.0,身分法,Family and,劉宏恩,LIU HUNG-EN,法律二甲,三D56,wed13-16 wed 13 14 15,大勇210201,群/Partially,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:105級基礎課程。,
601102021,3.0,身分法,Family and,王海南,WANG HAI-NAN,法律二甲,三D56,wed13-16 wed 13 14 15,大勇210202,群/Partially,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:105級基礎課程。,
601103001,3.0,民法債編各論,Civil Law: Kinds of,王千維,WANG CHIEN-WEI,法律二甲,四234,thu09-12 thu 09 10 11,大智190305,群/Partially,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:105級法學學程。,
601103011,3.0,民法債編各論,Civil Law: Kinds of,楊淑文,YANG SHWU-WEN,法律二甲,四234,thu09-12 thu 09 10 11,大勇210106,群/Partially,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:105級法學學程。,
601109001,2.0,海商法,Maritime Law,沈宗倫,SHEN CHUNG-LUN,法律三甲,二56,tue14-16 tue 14 15,大智190101,群/Partially,中文/Mandarin,否/No,＠異動資訊Information of alteration:N/A,＠備註Note:104級財經法學程。,
